;Molecule ChEMBL ID;Smiles;Smiles_STAND;Standard Type;Standard Relation;Standard Value;Standard Units
10;CHEMBL3593931;COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC;COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC;Ki;'=';630.3;nM
11;CHEMBL86921;CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1;Ki;'=';617.6;nM
12;CHEMBL2069431;CN(C)c1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1;CN(C)c1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1;Ki;'=';599;nM
13;CHEMBL3593925;O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1;Ki;'=';590.5;nM
14;CHEMBL3593919;O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1;O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1;Ki;'=';528.5;nM
15;CHEMBL3593901;O=C1Nc2ccccc2/C1=C/C=C/c1ccccc1;O=C1Nc2ccccc2/C1=C/C=C/c1ccccc1;Ki;'=';522.1;nM
16;CHEMBL3593917;CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1;Ki;'=';465.1;nM
17;CHEMBL3593933;O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1;O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1;Ki;'=';455.7;nM
18;CHEMBL3593896;COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1;COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1;Ki;'=';431.7;nM
19;CHEMBL3593909;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1;Ki;'=';374;nM
20;CHEMBL3593897;CN(C)c1ccc(/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1;CN(C)c1ccc(/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1;Ki;'=';364;nM
21;CHEMBL201986;O=C1Nc2ccccc2/C1=C/c1ccc([N+](=O)[O-])cc1;O=C1Nc2ccccc2/C1=C/c1ccc([N+](=O)[O-])cc1;Ki;'=';362.5;nM
22;CHEMBL3593929;COc1cccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1;COc1cccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1;Ki;'=';354.6;nM
23;CHEMBL3593927;COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1;Ki;'=';318.1;nM
24;CHEMBL3593913;CCOC(=O)N1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)c2ccccc21;CCOC(=O)N1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)c2ccccc21;Ki;'=';263.2;nM
