ID_REF,Control_1,Control_2,Control_3,Control_4,Treated_1,Treated_2,Treated_3,Treated_4
243332_at,365.6,1723.5,843.5,634.9,2174.5,778.2,1795.7,802.4
243335_at,484.5,270.2,35.1,270.8,125.1,302.4,539,161.6
243339_at,1065.9,827.7,761.2,428.7,159.3,641.8,546.8,416.9
243342_at,1241.7,947.4,1202.6,1533.2,2517.2,744.3,2278.1,1668.5
243343_at,475,662.1,370.5,321.4,296,209.2,265.6,192.9
243351_at,601.7,890,668,1390.4,346.3,327,690.1,334
243352_at,320.1,199.3,132.5,328.1,209.1,386.9,359.1,384.9
243354_at,1293.1,564.8,1498.3,1521,1477.4,2181.2,1341.8,1341.2
243357_at,3332.7,5717.8,2425.4,2412.3,793.2,2625.6,1463.8,3088.5
243365_s_at,603.8,852.4,876.7,648.9,316.7,721.1,734.7,350
243369_at,865.8,539.5,698.2,62.2,730.8,296.5,210.1,297.7
243370_at,746.5,987.4,492.5,171.7,358.5,268.8,463.3,665.8
243374_x_at,438.5,223.6,225,178.2,173.4,50.2,325.7,182
243376_at,454,898.4,758.1,43.4,785.9,1006.6,1729.9,902
243381_at,327.7,559,189.4,338.6,1003.5,310,100.4,701.3
243388_at,599.3,624.7,1270.2,506.2,441,362.1,721.2,343
243398_at,11538.5,8042.4,19017.3,12000.9,9698.7,14625.7,19816,6766.1
243399_at,434.4,448,181.2,24.5,334.4,586.2,312.4,353.7
243401_at,1071.9,205.2,928,2048.2,1494.3,224.2,1136.4,852.9
243405_at,1190.5,1350.5,1281.8,2810.5,1280.2,2222.4,1017.6,779.6
243413_at,406.6,251.4,303.1,575.9,144,341,587.8,181
243424_at,241.3,161.3,195.4,134.5,222.3,364.4,480.8,202.6
243427_at,430.3,266,167.8,258.8,298.3,415.5,65,227.8
243437_at,311.4,106.5,160.6,491.1,285.1,128.1,41.8,94.1
243439_at,681.2,396.6,403.9,13.3,284,455.2,341,422.7
243442_x_at,6644.1,2234.1,5491.7,5773.4,9296.2,6017.7,8065.1,5469.7
243453_at,265.3,125.5,614.2,246.6,888.5,487,306.2,232.2
243454_at,906.4,763,457.2,2058,1586.2,2623.5,1566,592.6
243456_at,1548.3,1265.9,902.3,911.3,1014,626.3,403.1,551.4
243463_s_at,249.1,91.5,16.5,81.9,361.6,111,520,345.2
243464_at,731.6,116.4,425.4,438.9,757.5,222.6,525,335.2
243465_at,325.1,241.7,370.9,185.7,264.3,387.6,343.8,655.3
243466_at,509.6,314.2,160.6,16.2,103.3,105.3,88.8,96.3
243469_at,1515.8,475.1,1074.7,586.4,1120.3,617.1,1028.3,1177.3
243480_at,1277.7,218.6,392.1,592.3,738.6,840.5,1496.2,393.6
243487_at,2832.1,2938.6,2777,2177.8,2756.9,2546.8,3097.6,2787.5
243490_at,1335.9,992.6,838.5,1065.6,945.5,596.4,1067.5,897.3
243495_s_at,1126.6,3543.9,2786.2,3647.2,3448.2,5096.5,2653.9,5188.9
243509_at,170.5,122.9,7.1,536.2,792.6,387.5,316.3,127.8
243510_at,752.9,464.8,630.5,1143.2,788.9,176.7,211.4,214.4
243512_x_at,756.4,435.9,635.3,567.5,1197.9,1027.1,294.5,693.8
243515_at,256,317.6,476.7,1201.5,151.7,765.5,713.5,66.1
243521_at,1329.6,986.1,1122,893.3,339.1,440,594.5,636.9
243522_at,260.3,201,590.8,301,796,240.2,288.9,296.9
243529_at,463,389.9,194.5,225.7,235.5,330.4,438.2,334.6
243533_x_at,681.2,690.7,297.7,689.3,452.1,285.5,460,404.8
243537_at,1084.7,1048.2,1276.9,602.7,1710.4,1832.9,1791.6,1368
243539_at,632.8,394.1,240.9,361.2,247,269.4,46.2,410
243549_at,677,219,156.9,4.2,106.8,311.8,156.5,166.8
243558_at,351.8,469.2,293.2,288.6,358.3,323.1,788,399.3
243559_at,724.4,674.2,823.4,697.8,899.9,359.9,846.1,991.3
243561_at,310.3,1087.9,326.6,289,993.5,257.2,323.1,321.8
243575_at,497.6,20.9,510.8,336.3,292.9,223.1,235.3,176.1
243579_at,1758.3,1855.4,1425.3,1319,2485.6,2726.5,649.5,2148.8
243584_at,367,255.7,461,637.7,323.5,279.4,513.9,320.3
243586_at,884.2,279,782.7,520,565.9,199.7,314.4,405.6
243587_x_at,1380,755.3,573.1,1259.5,1170.7,2739,1765.6,1015.6
243589_at,892.1,1974.1,1965.2,1962.6,1138,810.8,4767.7,1668.7
243599_at,428.7,414.7,856.6,900.2,804.4,336,295.5,905.2
243605_at,203.9,23.3,112.3,7.8,96.3,14.8,52,137.1
243606_at,1147.7,1534.3,1014.5,546.2,759.9,840.5,382.7,2297.5
243613_at,248.6,185.7,94.6,3.4,220.3,110.6,195.1,74.6
243618_s_at,264.3,901.4,1072.6,436,525.7,1543.4,1028.4,1015
243627_at,1014.9,2216.4,1696.8,1374.5,3182.5,2902.5,6211.5,2145.7
243629_x_at,425.7,563.2,184.2,138.1,636.5,324.3,344.2,299.5
243630_at,413.9,183.1,42.6,16,41.5,251.5,16.8,149.8
243631_at,689.6,692.5,870.4,338.5,519.7,419,1110.6,1853
243638_at,3172.7,2083.4,4125.4,2116.7,4107.1,2109,2729.9,3262.2
243641_at,492.4,427.1,432.5,193.2,467.9,285.2,624.6,379.1
243642_x_at,1101,3522.2,2425.6,2018.5,3859.4,423.2,6776.1,1477.1
243646_at,720.9,476.1,222.1,197.4,2255,539.7,1041.5,467.8
243656_at,1251.2,1167.6,743.4,711.6,1234.9,1796.5,1184.1,1609.1
243657_at,242.7,241.9,215,386.6,188.8,240.5,80,185.5
243661_at,220.1,623.8,449.3,515.5,465.9,1141,423,307.8
243665_s_at,470.6,865.8,1310.5,1165.7,846.5,1080.2,1479.7,567
243666_at,546.6,633.7,545.1,573.3,503.5,493.3,687.9,329.3
243671_at,436.3,74.7,76,317.1,285.7,147.4,66.7,184.1
243681_at,1375,2428.3,832,954.5,796.3,1656,1171,1916.7
243686_at,945,1595.7,1668.1,1202.9,514.5,628.9,455.5,583.2
243689_s_at,262.9,286.9,275.4,283.8,324.8,216.5,190,135.7
243705_at,411.8,620,276.7,201.2,657.1,430.2,1202.3,476
243715_at,594,801.5,306.4,275.8,1273.2,389.3,319.5,811.8
243716_at,599.8,146.1,223.8,488.6,356.5,668.7,206.8,312
243718_at,594.8,466.9,522.9,97.1,425.5,368.9,1607.6,356.4
243724_at,569,757.3,795.9,777.7,729,1577.8,577.7,282.7
243733_at,220.2,143.4,131,72.3,236,355.2,431.3,161.7
243745_at,336.2,73.7,54.8,300.2,907.2,250.9,548.5,450.7
243751_at,635,611.8,555.4,311.6,1023,964.6,1132.3,846.7
243753_at,1711,2145.2,2275.4,1712.9,1233.5,1528.4,2412.7,1208.8
